timestamp,block,USDT,DAI,USDC,SUSD,PAX,BTC,sBTC,cUSDC,cDAI,renBTC,cUSDT,BUSD,TUSD
1594659600,10452454,14728281.715109,4979291.8930399995,14357447.092666,8702135.05995,5134.241387,1097.371334,613.760686,71851572.702503,10707841.202335998,1483.627979,3258.075449,45303.676226,1690616.616989
1594638000,10450800,15852127.761215,4606217.519705,13969449.876939,8314908.22203,6187.304435,1107.507920,569.438742,72713197.539651,9836905.921636999,1526.621240,3258.075449,45303.676226,1687732.875396
1594616400,10449182,15918895.590024002,4593731.215175999,14090111.975606,8311257.861742,6187.304435,1102.957690,543.448298,72331699.377121,10161846.915321,1556.289164,3258.075449,58128.832429,1682397.998729
1594530000,10442694,15739035.579659998,4657643.639731,13549369.093476,8575915.176877001,6187.304435,1074.549485,506.248964,72562494.74988401,10610026.228701001,1313.304938,3258.075449,55296.497423,1864064.45536
1594400400,10432982,15900661.209727,4246730.589363,13483383.917157,8812541.363994,3124.029163,1040.900457,489.076939,73464878.855699,9735039.377351,1248.419361,3418.317776,50852.002326,1852284.667444
1593734400,10383125,10685209.21588,3841629.041349,9385091.660733,6242405.0239969995,2204.461533,667.615753,418.038222,63076804.881399006,11891915.481691,972.776326,804.484444,42254.726572,1820338.480543
1592438400,10286316,4554168.459624,1717240.731062,2959037.6766339997,4600720.207718,6805.909816,39.833324,0.001000,33615318.362181,7264496.119891,62.103680,11757.318855,72327.310618,382056.35733
1591142400,10189548,4078569.583038,2927828.481656,3726444.629171,3406507.520092,8747.017619,12.899171,,1740520.133588,947981.0834209999,22.894919,8913.648024,59906.829991,439273.787806
1589932800,10099456,4420723.161348,2811438.038586,4049662.346777,3437231.684,18282.826991,,,3297793.78071,984760.5277239999,,13216.915302,88309.77982,665806.574876
1588636800,10002872,3510343.7126780003,2153072.879059,3835051.724706,2429135.0738480003,,,,3189912.285318,741718.230027,,,112140.056615,733025.104912
1587427200,9912463,1429427.243732,195918.244237,1668433.8289319999,2318258.8090830003,,,,6199565.905995,907379.959776,,,99953.429058,2521514.009683
1586131200,9815166,1491444.226181,246797.769578,2522067.591282,1853079.514477,,,,47324987.119395,4812240.660512,,,362453.229082,2355976.509961
1584835200,9718106,1981115.152662,272049.28257,2564519.012363,1635054.824669,,,,52197925.770511,5324036.917580,,,384744.511654,2740674.228226
1583625600,9627371,1202195.0783459998,699208.551506,2962320.672482,,,,,26372627.460977,5729944.215813,,,1446839.74716,2044447.281854
1582329600,9529735,1625410.928075,1615630.570601,933775.281999,,,,,26973127.737901,37291524.831586,,,,968695.11622
1581120000,9438750,,,,,,,,25767607.912689,16081222.630265,,,,
